va,vb,win_rate
0,0,1.0
0,1,1.0
0,2,1.0
0,3,1.0
0,4,1.0
0,13,1.0
1,0,1.0
1,1,1.0
1,2,0.955078125
1,5,1.0
1,6,0.955078125
1,13,1.0
2,0,1.0
2,1,0.955078125
2,2,1.0
2,7,0.955078125
2,8,1.0
2,13,1.0
3,0,1.0
3,3,1.0
3,4,1.0
3,10,1.0
3,11,1.0
3,13,1.0
4,0,1.0
4,3,1.0
4,4,1.0
4,9,0.955078125
4,12,0.955078125
4,13,1.0
5,1,1.0
5,5,1.0
5,6,1.0
5,11,1.0
5,12,1.0
5,13,1.0
6,1,0.955078125
6,5,1.0
6,6,1.0
6,9,0.955078125
6,10,1.0
6,13,1.0
7,2,0.955078125
7,7,1.0
7,8,1.0
7,10,1.0
7,12,0.955078125
7,13,1.0
8,2,1.0
8,7,1.0
8,8,1.0
8,9,1.0
8,11,1.0
8,13,1.0
9,4,0.955078125
9,6,0.955078125
9,8,1.0
9,9,1.0
9,13,1.0
10,3,1.0
10,6,1.0
10,7,1.0
10,10,1.0
10,13,1.0
11,3,1.0
11,5,1.0
11,8,1.0
11,11,1.0
11,13,1.0
12,4,0.955078125
12,5,1.0
12,7,0.955078125
12,12,1.0
12,13,1.0
13,0,1.0
13,1,1.0
13,2,1.0
13,3,1.0
13,4,1.0
13,5,1.0
13,6,1.0
13,7,1.0
13,8,1.0
13,9,1.0
13,10,1.0
13,11,1.0
13,12,1.0
13,13,1.0
